Timestamp,Value (kW)
09-Feb-21 7:00:00 AM CET,6480
09-Feb-21 7:15:00 AM CET,6494
09-Feb-21 7:30:00 AM CET,6487
09-Feb-21 7:45:00 AM CET,6482
09-Feb-21 8:00:01 AM CET,6479
09-Feb-21 8:15:00 AM CET,6478
09-Feb-21 8:30:00 AM CET,6471
09-Feb-21 8:45:00 AM CET,6480
09-Feb-21 9:00:01 AM CET,6475
09-Feb-21 9:15:00 AM CET,6483
09-Feb-21 9:30:00 AM CET,6475
09-Feb-21 9:45:00 AM CET,6476
09-Feb-21 10:00:00 AM CET,6474
09-Feb-21 10:15:00 AM CET,6477
09-Feb-21 10:30:00 AM CET,6483
09-Feb-21 10:45:00 AM CET,6474
09-Feb-21 11:00:00 AM CET,6480
09-Feb-21 11:15:00 AM CET,6482
09-Feb-21 11:30:00 AM CET,6483
09-Feb-21 11:45:00 AM CET,6490
09-Feb-21 12:00:00 PM CET,6480
09-Feb-21 12:15:00 PM CET,6478
09-Feb-21 12:30:00 PM CET,6484
09-Feb-21 12:45:01 PM CET,6480
09-Feb-21 1:00:00 PM CET,6472
09-Feb-21 1:15:00 PM CET,6484
09-Feb-21 1:30:00 PM CET,6480
09-Feb-21 1:45:00 PM CET,6483
09-Feb-21 2:00:00 PM CET,6480
09-Feb-21 2:15:01 PM CET,6482
09-Feb-21 2:30:00 PM CET,6483
09-Feb-21 2:45:00 PM CET,6479
09-Feb-21 3:00:00 PM CET,6481
09-Feb-21 3:15:00 PM CET,6479
09-Feb-21 3:30:00 PM CET,6485
09-Feb-21 3:45:00 PM CET,6487
09-Feb-21 4:00:00 PM CET,6488
09-Feb-21 4:15:00 PM CET,6486
09-Feb-21 4:30:00 PM CET,6491
09-Feb-21 4:45:00 PM CET,6490
09-Feb-21 5:00:00 PM CET,6494
09-Feb-21 5:15:00 PM CET,6492
09-Feb-21 5:30:00 PM CET,6494
09-Feb-21 5:45:00 PM CET,6495
09-Feb-21 6:00:00 PM CET,6488
09-Feb-21 6:15:01 PM CET,6497
09-Feb-21 6:30:00 PM CET,6500
